,Video_Title,View_Count,Like_Count,Comment_Count
202,Meta Marketing Analytics Professional Certificate on Coursera | Review,38597,993,104
203,Google's Secret Hiring Platform | Found in the Google Data Analytics Certification,45717,1640,134
204,How to use Power Query in Power BI | Microsoft Power BI for Beginners,455649,6959,115
205,Automating Crypto Website API Pull Using Python | Data Analyst Project,79495,1300,119
206,How to use a Public API | Using a Public API with Python,56200,1728,87
207,How to Install Power BI | Building First Visualization | Microsoft Power BI for Beginners,693307,11415,306
208,MySQL vs Postgresql vs Microsoft SQL Server Management Tools | Which Option is Best?,156498,3219,282
209,Top 3 Tips to Stop Procrastinating to be Successful,33504,1673,155
210,SQL vs NoSQL | What's the Difference?,64331,1905,67
211,Database vs Data Warehouse vs Data Lake | What is the Difference?,885646,22972,336
212,How I Manage My Time Working 60+ Hours Per Week | Alex The Analyst Show | Episode 22,11936,325,160
213,200k Livestream! | Shaving | Puppies | Giveaway,3183,133,11
214,Things I HATE About Being a Data Analyst,36520,1513,202
215,Best Website to Practice Technical Interview Questions,20096,683,56
216,Pros and Cons of Working Remote | Alex The Analyst Show | Episode 21,7150,276,159
217,Full Project in Excel | Excel Tutorials for Beginners,961989,20180,1146
218,Top 5 Non-Technical Skills for Data Analysts,22127,819,72
219,Cleaning Data in Excel | Excel Tutorials for Beginners,645461,13189,335
220,Tableau Data Analyst Certification Review,70023,1653,128
221,Job Title Alternatives for Data Analysts,26462,1016,95
222,Best Coursera Courses for Data Analysts in 2022,123211,5822,218
223,Understanding Your Data Analyst Salary Offer | What To Know Before Accepting,21130,719,61
224,Charts in Excel | Excel Tutorials for Beginners,167257,4076,85
225,How I became a Data Analytics Manager | Alex The Analyst Show | Episode 20,23405,859,361
226,Conditional Formatting in Excel | Excel Tutorials for Beginners,230147,4805,121
227,150k Subscriber Livestream!!,3496,159,7
228,How To Become A Data Analyst In 2022,498189,21953,635
229,XLOOKUP in Excel | Excel Tutorials for Beginners,278068,5783,232
230,Formulas in Excel | Excel Tutorials for Beginners,453153,9547,486
231,Pivot Tables in Excel | Excel Tutorials for Beginners,900989,18100,441
232,Full Beginner Project in Tableau | Tableau Tutorials for Beginners,328906,6366,478
233,How to use Joins in Tableau | Tableau Tutorials for Beginners,162599,4236,71
234,Top 5 Major Red Flags in Job Descriptions,18416,957,71
235,Truth About My Job (Song) - As a Data Analyst,11078,896,105
236,How to Grow Your Analytics Career | Alteryx Webinar Oct 2021 | Tips to Break Into Analytics,11352,341,34
237,Choosing a Domain to Make More Money,20486,980,77
238,How to Create Visualizations in Tableau | Tableau Tutorials for Beginners,202929,4471,212
239,How to use Calculated Fields and Bins in Tableau | Tableau Tutorials for Beginners,261902,5487,97
