,Video_Title,View_Count,Like_Count,Comment_Count
203,How to use Power Query in Power BI | Microsoft Power BI for Beginners,452971,6932,114
204,Automating Crypto Website API Pull Using Python | Data Analyst Project,79216,1295,119
205,How to use a Public API | Using a Public API with Python,55858,1721,87
206,How to Install Power BI | Building First Visualization | Microsoft Power BI for Beginners,689821,11361,305
207,MySQL vs Postgresql vs Microsoft SQL Server Management Tools | Which Option is Best?,156056,3210,282
208,Top 3 Tips to Stop Procrastinating to be Successful,33502,1673,155
209,SQL vs NoSQL | What's the Difference?,64254,1903,67
210,Database vs Data Warehouse vs Data Lake | What is the Difference?,883407,22924,336
211,How I Manage My Time Working 60+ Hours Per Week | Alex The Analyst Show | Episode 22,11932,325,160
212,200k Livestream! | Shaving | Puppies | Giveaway,3183,133,11
213,Things I HATE About Being a Data Analyst,36510,1513,202
214,Best Website to Practice Technical Interview Questions,20088,682,56
215,Pros and Cons of Working Remote | Alex The Analyst Show | Episode 21,7150,276,159
216,Full Project in Excel | Excel Tutorials for Beginners,958203,20116,1146
217,Top 5 Non-Technical Skills for Data Analysts,22123,819,72
218,Cleaning Data in Excel | Excel Tutorials for Beginners,642966,13140,334
219,Tableau Data Analyst Certification Review,69947,1651,128
220,Job Title Alternatives for Data Analysts,26460,1016,95
221,Best Coursera Courses for Data Analysts in 2022,123133,5821,218
222,Understanding Your Data Analyst Salary Offer | What To Know Before Accepting,21126,719,61
223,Charts in Excel | Excel Tutorials for Beginners,166523,4062,85
224,How I became a Data Analytics Manager | Alex The Analyst Show | Episode 20,23400,859,361
225,Conditional Formatting in Excel | Excel Tutorials for Beginners,229099,4786,121
226,150k Subscriber Livestream!!,3496,159,7
227,How To Become A Data Analyst In 2022,498180,21954,635
228,XLOOKUP in Excel | Excel Tutorials for Beginners,276901,5758,230
229,Formulas in Excel | Excel Tutorials for Beginners,450963,9512,485
230,Pivot Tables in Excel | Excel Tutorials for Beginners,896755,18015,439
231,Full Beginner Project in Tableau | Tableau Tutorials for Beginners,328017,6351,478
232,How to use Joins in Tableau | Tableau Tutorials for Beginners,161980,4227,71
233,Top 5 Major Red Flags in Job Descriptions,18413,957,71
234,Truth About My Job (Song) - As a Data Analyst,11074,896,105
235,How to Grow Your Analytics Career | Alteryx Webinar Oct 2021 | Tips to Break Into Analytics,11349,341,34
236,Choosing a Domain to Make More Money,20476,980,77
237,How to Create Visualizations in Tableau | Tableau Tutorials for Beginners,202188,4456,210
238,How to use Calculated Fields and Bins in Tableau | Tableau Tutorials for Beginners,260940,5470,95
239,How to Install Tableau and Create First Visualization | Tableau Tutorials for Beginners,833369,18632,432
240,How NOT to Become a Data Analyst (Funny?),17454,710,114
241,100k Subscriber Play Button Unboxing,2679,238,96
242,Amazon Web Scraping Using Python | Data Analyst Portfolio Project,300955,6665,692
243,Interviewing with PwC for a Senior Data Analyst Position,98547,2609,157
244,100k Livestream | Announcing Giveaway Winners | Trimming Mustache | Answering Questions,4747,191,26
245,I Am No Longer a Data Analyst | Turning Down PwC | New Job,143297,4396,481
246,When To Start Applying To Your First Data Analyst Job,91224,4752,243
247,Why You Need to Stop Taking Courses (From an Ex-Course Addict),130885,5629,362
248,How to Create a Portfolio Website for FREE,706999,15610,813
249,Data Analyst Portfolio Project | Correlation in Python | Project 4/4,193576,3346,519
250,How To Get a Data Analyst Job (with No Experience),484571,20802,605
251,My Wife Answers Subscribers Questions About Me | Alex The Analyst Show | Episode 19,6411,244,108
252,Favorite Tableau and Power BI Courses on Udemy,33716,877,86
253,Data Analyst Portfolio Project | Data Cleaning in SQL | Project 3/4,444638,8327,884
254,Data Analyst Portfolio Project | Tableau Visualization | Project 2/4,401706,6274,468
255,Asking My Family What I Do For a Living,3771,195,55
256,Data Analyst Portfolio Project | SQL Data Exploration | Project 1/4,2108971,36172,4325
257,Advanced SQL Tutorial | Subqueries,419191,9004,240
258,Data Analyst Q/A #6 | Why Am I Not a Data Scientist?,22363,818,147
259,Google vs IBM Data Analytics Certificates | Which is Better?,359406,12257,621
260,Data Analyst Reacts: How to Go From Data Analyst to Data Scientist,28066,959,85
261,Laptops for Data Analysts |  Specifications + Recommendations,199211,4235,328
262,Best Machine Learning Courses on Coursera,62383,1840,83
263,Will Data Analysts Be Automated? | Alex The Analyst | Episode 18,16433,481,117
264,Advanced SQL Tutorial | Stored Procedures + Use Cases,474600,8181,201
265,Google Data Analytics Professional Certificate | It's Finally Here!,369342,11202,1168
266,Google Data Analytics Certificate | Coming Out Soon!,51786,2358,315
267,Reviewing Your Data Analyst Resumes | Part 2,24694,586,77
268,Best Course to Learn Statistics for Data Analysis,123670,3026,92
269,DataQuest Review | Is it Worth it?,25323,430,45
270,R vs Python | Which is Better for Data Analysis?,236108,5210,409
271,Advanced SQL Tutorial | String Functions + Use Cases,186542,4584,156
272,Advanced SQL Tutorial | Temp Tables,268099,5812,145
273,IBM Data Analyst Certificate Study Session,5285,173,22
274,IBM Data Analyst Professional Certificate by Coursera | Is it Worth it?,133094,3271,307
275,DataCamp Review | Is it Worth it?,200145,4117,270
276,Best Python Course for Data Analysts,55679,1381,119
277,Top 5 Data Analyst Skills,34575,1399,172
278,Best Industries for Data Analysts in 2021 | Alex The Analyst Show | Episode 17,15393,497,146
279,Top 5 Data Analyst Interview Mistakes,102391,2515,74
280,2020 Year End Review + Upcoming Giveaway Details,1581,140,101
281,Data Analyst Resume | Everything You Need to Know | Alex The Analyst Show | Episode 16,42106,1205,137
282,Solving Medium Level SQL LeetCode Questions | Part 2/3,11820,247,32
283,Entry vs Mid vs Senior Level Data Analyst | Alex The Analyst Show | Episode 15,47274,1554,211
284,Data Engineer vs Data Analyst | Which Is Right For You?,86571,2819,147
