video_id,title,published_at,views,likes,comments,tags,duration_seconds
0QZBnhofU_U,CareerFoundry Data Analytics Bootcamp Review | Bootcamp + Intro + Free Course Review,2022-08-16T10:30:00Z,28624,676,130,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'careerfoundry', 'careerfoundry review', 'careerfoundry analytics', 'careerfoundry data analytics review', 'careerfoundry data analyst bootcamp', 'careerfoundry bootcamp review']",1361
ulFY20KTzFQ,How to use Drill Down in Power BI | Microsoft Power BI for Beginners,2022-08-09T10:30:11Z,259531,4340,92,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'drill down', 'drill down in power bi', 'how to drill down', 'how to use drill down', 'how to use drill down in power bi', 'power bi drill down', 'power bi drill down to another visual']",362
PEc29sRZoTM,"Best Courses for Alternative Analyst Jobs | Marketing Analyst, Business Analyst, Financial Analyst",2022-08-02T10:30:05Z,20826,876,75,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'courses for business analysts', 'courses for financial analysts', 'courses for sports analysts', 'courses for data analysts', 'courses for analysts', 'sports analyst', 'marketing analyst', 'marketing analyst courses', 'sports analyst courses', 'financial anlyst', 'financial analyst courses', 'business analyst', 'business analyst courses']",566
DlEkWd-8VXA,250k Subscriber Live Stream!!,2022-07-26T13:19:48Z,4165,157,11,"['Alex The Analyst', 'Live Stream', '250k subscriber live stream']",4539
vcijg0gUXSg,How to use DAX in Power BI | Microsoft Power BI for Beginners,2022-07-26T10:30:12Z,277089,5240,226,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'power bi tutorial', 'tutorial for power bi', 'power bi', 'power bi tutorial for beginners', 'beginner power bi', 'power bi beginner', 'power bi beginner tutorial', 'what is power bi', 'power bi beginner to expert', 'using dax in power bi', 'power bi dax', 'dax in power bi', 'how to use dax']",944
gCg47n_TlFc,Tech Layoffs and Hiring Freezes | The Great Resignation | Alex The Analyst Show | Episode 23,2022-07-19T10:30:06Z,22040,617,123,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'tech layoffs', 'hiring freezes', 'tech', 'great resignation', 'the great resignation']",2954
sW5LoDA1ssM,How to Create and Manage Relationships in Power BI | Microsoft Power BI for Beginners,2022-07-12T10:30:22Z,349489,5838,150,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'power bi tutorial', 'tutorial for power bi', 'power bi', 'power bi tutorial for beginners', 'beginner power bi', 'power bi beginner', 'power bi beginner tutorial', 'what is power bi', 'power bi beginner to expert', 'Power bi relationships', 'Power bi modeling', 'modeling data in power bi', 'creating relationships in power bi']",516
4nsdARJGzJ0,Machine Learning Specialization on Coursera | Review,2022-07-05T10:30:01Z,26161,816,63,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'Machine Learning', 'Machine Learning Python', 'Machine Learning Specialization', 'Machine Learning Coursera', 'Machine Learning Course', 'Best Machine Learning course']",895
_QvQxm4dptI,Meta Marketing Analytics Professional Certificate on Coursera | Review,2022-06-28T10:30:07Z,38846,993,104,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'Meta', 'Meta Marketing', 'Meta Marketing Analytics', 'Meta marketing course', 'Meta marketing analytics professional certificate', 'Certification by meta', 'Meta Certification', 'Meta Marketing Certification', 'Meta Marketing Analytics Review', 'Meta Marketing Analytics Certification']",1146
HX2TabgkzHo,Google's Secret Hiring Platform | Found in the Google Data Analytics Certification,2022-06-21T10:30:09Z,45729,1641,134,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'foobar', 'foobar challenge', 'google hiring platform', 'secret google hiring platform', 'secret hiring platform google', 'google hiring', 'how google hires employees', 'how google hires data']",612
